"","x"
"1",4.82802387285324
"2",8.95307079841949
"3",7.80223186784635
"4",9.18815396706415
"5",5.96604624136895
"6",6.79998455176616
"7",7.05812052623597
"8",12.031843990579
"9",7.60638970855087
"10",18.022528948484
"11",10.2067511188325
"12",4.46370075533788
"13",4.99728652551543
"14",4.33991879412668
"15",4.1379565488985
"16",7.40215768660074
"17",5.73712427978685
"18",7.52966328939329
"19",3.8546825903333
"20",3.88328172147076
"21",10.5749355960894
"22",7.17545207094397
"23",10.7181207354182
"24",4.9388036745196
"25",8.11955279859234
"26",9.37345073901113
"27",13.9102432305506
"28",11.1306358868404
"29",3.98389479871316
"30",6.57011505361789
"31",9.30137619427495
"32",21.3539549676456
"33",6.28513066207464
"34",5.95871458388698
"35",4.53759122004558
"36",3.2405501455807
"37",6.31096473752883
"38",11.270072318906
"39",8.84581974578643
"40",5.32087050256863
"41",8.67973936538472
"42",6.10451327099068
"43",9.32989769274843
"44",2.82305374546753
"45",4.61692820193343
"46",3.72483427532581
"47",6.10197112095133
"48",5.64681888634925
"49",22.3133034966274
"50",14.3755790123638
"51",2.85895781002653
"52",7.62806379238037
"53",14.3910426179942
"54",11.2837831136931
"55",6.91054769910287
"56",7.0732833724119
"57",11.8860737407729
"58",11.2136589384562
"59",3.6490378797248
"60",11.091970426695
"61",5.02722173532164
"62",5.38988870220717
"63",5.35446603455412
"64",9.17197125739667
"65",11.5274297048329
"66",8.94187439874231
"67",3.58862736518289
"68",8.19406973237937
"69",6.08046273178696
"70",6.75255661317716
"71",3.87887414654594
"72",8.38255744948459
"73",2.43142115161801
"74",3.44448259393155
"75",10.7919571796512
"76",2.91811975282713
"77",15.8480190639964
"78",5.72712087585606
"79",12.4891796460955
"80",3.81362289202032
"81",2.65311265145009
"82",13.6229533207017
"83",7.45341180402053
"84",9.41065779735713
"85",9.26844599538842
"86",10.9884580372634
"87",5.6946291000604
"88",12.3174398793994
"89",5.12461662586934
"90",7.15242179401834
"91",17.0885539452025
"92",22.8283717587933
"93",4.50434179727169
"94",6.74147970587544
"95",3.16490582210792
"96",9.16582105627864
"97",5.17109746211387
"98",5.18683247057597
"99",11.2039345666095
"100",6.41071295717699
"101",4.68449566283368
"102",9.54319799417619
"103",5.27576530526884
"104",7.07900404309454
"105",14.698584205888
"106",6.27097009083646
"107",7.38594879081518
"108",9.03350308772459
"109",14.8286601204831
"110",5.28200548257316
"111",25.5999357992589
"112",4.21388499404557
"113",6.37101719421883
"114",7.92446395096874
"115",9.84151070707197
"116",10.6447302248838
"117",6.54113092787733
"118",5.17176781747141
"119",7.79039133849369
"120",10.9047722025185
"121",5.52516105999143
"122",8.88162848732318
"123",7.51672271500304
"124",4.83594785196561
"125",16.2160776103471
"126",3.6951396971355
"127",4.60480105267348
"128",6.27535207004119
"129",5.86298265657745
"130",10.8069688669724
"131",5.9517147945514
"132",6.84867645676833
"133",7.1899941909949
"134",8.05046606076172
"135",7.95021666818168
"136",9.18441600157056
"137",8.77988840921505
"138",2.62188110686354
"139",10.2753904070082
"140",3.87405558331768
"141",10.3108236326745
"142",16.4462882047504
"143",10.9785644975653
"144",6.46437249897546
"145",6.27191632137253
"146",6.74580064329234
"147",4.62263506957986
"148",10.1994851742493
"149",22.6572969322063
"150",9.10924599082127
"151",10.7148789432147
"152",8.41532990737732
"153",16.9389582494767
"154",7.95690100820915
"155",12.426228093725
"156",11.2758209479485
"157",6.13899185292347
"158",7.90298640755788
"159",7.66989176531849
"160",6.63703778595227
"161",3.1827107050168
"162",7.58317904398636
"163",4.25729833768139
"164",10.0771855627294
"165",4.34630618502311
"166",5.55124123120383
"167",26.0253389099303
"168",12.4899835069582
"169",15.2268140948363
"170",7.90632166104483
"171",8.32964085586332
"172",10.2331926552216
"173",6.27844429852513
"174",3.78386918608893
"175",4.66826909009275
"176",8.2438345535228
"177",4.3196011098216
"178",9.49527433167309
"179",3.18064963056881
